#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as,Label
1631723360,975245,86664276,140.30.20.1,1,52,86635252,86635252,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,38808,80,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,584,86635676,86635676,0,0,152.148.48.12,140.30.20.191,0.0.0.0,1168,1168,39206,80,6,0,24,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,394,86636044,86636044,0,0,152.148.48.18,140.30.20.127,0.0.0.0,1168,1168,54910,80,6,0,24,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86636404,86636404,0,0,152.148.48.14,140.30.20.59,0.0.0.0,1168,1168,45598,80,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86636880,86636880,0,0,152.148.48.18,140.30.20.127,0.0.0.0,1168,1168,55564,80,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86637412,86637412,0,0,140.30.20.127,152.148.48.18,140.30.20.2,1168,1168,80,55948,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,60,86637832,86637832,0,0,152.148.48.14,140.30.20.59,0.0.0.0,1168,1168,46596,80,6,0,2,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86638520,86638520,0,0,140.30.20.127,152.148.48.18,140.30.20.2,1168,1168,80,56584,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86639160,86639160,0,0,140.30.20.127,152.148.48.18,140.30.20.2,1168,1168,80,56980,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86639908,86639908,0,0,152.148.48.18,140.30.20.127,0.0.0.0,1168,1168,57274,80,6,0,16,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86640664,86640664,0,0,140.30.20.127,152.148.48.18,140.30.20.2,1168,1168,80,57590,6,0,17,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,60,86641040,86641040,0,0,140.30.20.127,152.148.48.18,140.30.20.2,1168,1168,80,57942,6,0,18,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,539,86641556,86641556,0,0,140.30.20.127,152.148.48.18,140.30.20.2,1168,1168,80,58234,6,0,24,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86642080,86642080,0,0,152.148.48.16,140.30.20.120,0.0.0.0,1168,1168,33636,443,6,0,17,0,0,0,0,1
1631723360,975245,86664276,140.30.20.1,1,52,86642872,86642872,0,0,152.148.48.16,140.30.20.120,0.0.0.0,1168,1168,33986,443,6,0,16,0,0,0,0,1
