dpkts,doctets,input,output,srcport,dstport,prot,tos,tcp_flags,Label
7,2627,656,675,50025,3480,17,136,0,0
3,1293,656,675,50034,3480,17,136,0,0
1,163,656,675,50045,3481,17,136,0,0
1,144,656,675,50052,3480,17,136,0,0
1,1255,656,675,50055,3480,17,136,0,0
1,145,656,675,50015,3478,17,0,0,0
9,6635,656,675,64818,3480,17,0,0,0
1,1255,656,675,50056,3481,17,0,0,0
6,4709,656,675,50037,3480,17,0,0,0
1,128,656,675,49735,3480,17,0,0,0
3,466,656,675,50017,3479,17,0,0,0
1,143,656,675,50018,3479,17,0,0,0
21,17170,656,675,50030,3480,17,0,0,0
17,10614,656,675,50031,3480,17,0,0,0
1,1255,656,675,50050,3481,17,0,0,0
4,1950,656,675,52739,3480,17,0,0,0
5,894,656,675,50003,3479,17,0,0,0
18,11857,656,675,50035,3480,17,0,0,0
1,144,656,675,50048,3481,17,0,0,0
2,134,656,675,63075,3480,17,136,0,0
3,337,656,675,50003,3480,17,0,0,0
16,10313,656,675,50032,3480,17,0,0,0
3,1247,656,675,54698,3480,17,0,0,0
30,23397,656,675,50010,3478,17,0,0,0
3,476,656,675,50006,3479,17,0,0,0
17,14070,656,675,50029,3480,17,0,0,0
1,84,616,675,35313,53,17,0,0,0
1,64,656,675,52370,443,6,0,0,0
1,40,595,666,2688,52869,6,164,0,0
1,40,656,675,8496,443,6,0,0,0
1,40,656,675,50951,443,6,0,0,0
1,40,656,675,55238,443,6,32,0,0
1,40,656,675,9644,443,6,0,0,0
1,40,656,675,63268,443,6,0,0,0
1,52,656,675,50235,443,6,136,0,0
1,64,666,675,50313,443,6,0,0,0
1,40,675,623,52789,8443,6,0,0,0
2,80,666,675,21739,443,6,0,0,0
2,104,666,675,43862,443,6,0,0,0
1,40,666,675,7053,443,6,0,0,0
1,40,656,675,56216,443,6,0,0,0
1,40,656,675,4796,443,6,0,0,0
2,104,656,675,58635,443,6,0,0,0
1,40,656,675,53998,443,6,0,0,0
1,40,656,675,54467,443,6,0,0,0
1,163,656,675,38800,443,6,32,0,0
1,40,656,675,50843,80,6,0,0,0
1,40,656,675,50882,80,6,0,0,0
2,377,675,658,47180,1194,6,0,0,0
1,60,656,675,49840,443,6,0,0,0
1,52,656,675,54635,443,6,136,0,0
1,127,666,675,62442,443,6,0,0,0
1,40,666,675,52457,443,6,0,0,0
1,40,666,675,52561,443,6,0,0,0
1,52,656,675,20099,443,6,0,0,0
6,240,656,675,65431,443,6,0,0,0
1,40,656,675,54243,443,6,0,0,0
34,1904,656,675,42886,443,6,0,0,0
1,52,656,675,54106,443,6,0,0,0
2,92,666,675,11061,443,6,0,0,0
6,432,666,675,60262,443,6,0,0,0
3,156,656,675,49841,443,6,0,0,0
2,80,666,675,54066,443,6,0,0,0
1,52,656,675,49849,443,6,0,0,0
1,52,656,675,42900,443,6,0,0,0
1,40,666,675,56656,443,6,0,0,0
1,52,656,675,48413,443,6,0,0,0
6,240,666,675,62476,443,6,0,0,0
2,80,666,675,62151,443,6,0,0,0
4,240,656,675,50838,80,6,0,0,0
1,52,656,675,52848,443,6,0,0,0
1,52,656,675,49846,443,6,0,0,0
1,52,656,675,55318,443,6,0,0,0
1,40,656,675,64190,443,6,0,0,0
1,52,656,675,63906,443,6,136,0,0
2,80,656,675,62331,443,6,32,0,0
1,88,656,675,62331,443,6,32,0,0
1,52,656,675,50839,80,6,0,0,0
1,676,666,675,32852,443,6,0,0,0
1,40,656,675,52683,443,6,0,0,0
13,780,656,675,50985,443,6,0,0,0
1,52,656,675,43742,443,6,0,0,0
1,40,675,666,59213,2008,6,0,0,0
1,40,675,666,59213,2003,6,0,0,0
1,40,675,616,59213,2001,6,0,0,0
1,40,675,666,59213,2015,6,0,0,0
2,92,595,666,52713,443,6,164,0,0
1,40,675,676,443,49824,6,0,0,0
1,1500,675,656,443,42336,6,0,0,0
1,589,675,656,443,63893,6,0,0,0
1,1500,675,634,443,46208,6,0,0,0
1,91,675,656,443,50189,6,0,0,0
1,1500,675,676,443,52961,6,0,0,0
1,143,675,656,443,48292,6,0,0,0
1,1500,675,634,443,64847,6,40,0,0
1,40,675,656,443,60798,6,0,0,0
1,78,675,656,443,52640,6,0,0,0
1,1500,675,656,443,49832,6,0,0,0
1,52,675,616,443,52303,6,0,0,0
1,40,595,666,443,65025,6,0,0,0
1,1392,675,676,443,60974,6,0,0,0
1,1500,675,676,443,64723,6,0,0,0
1,88,675,676,443,53800,6,0,0,0
1,130,675,663,443,65358,6,0,0,0
1,40,675,663,443,65532,6,0,0,0
7,8752,666,675,443,17481,6,0,0,0
6,2320,666,675,443,17481,6,0,0,0
1,1490,675,616,443,30449,6,40,0,0
2,220,666,675,443,63599,6,0,0,0
2,80,666,675,443,53726,6,0,0,0
1,91,675,663,443,63257,6,0,0,0
2,80,666,675,443,1742,6,0,0,0
1,71,675,663,443,61231,6,0,0,0
3,1759,666,675,443,1742,6,0,0,0
1,91,675,663,443,59973,6,0,0,0
1,91,675,663,443,65377,6,0,0,0
1,91,675,663,443,58468,6,0,0,0
2,375,666,675,443,49252,6,0,0,0
1,91,675,663,443,57470,6,0,0,0
2,80,666,675,443,55930,6,0,0,0
1,71,675,663,443,49381,6,0,0,0
1,40,666,675,443,55377,6,0,0,0
2,587,666,675,443,55377,6,0,0,0
1,71,595,666,443,59497,6,0,0,0
5,1915,675,616,443,35721,6,0,0,0
4,973,675,616,443,53340,6,0,0,0
2,483,675,663,443,59413,6,0,0,0
1,88,675,663,443,59208,6,0,0,0
1,35,656,675,46586,3478,17,0,0,0
1,65,656,675,51211,3478,17,0,0,0
2,288,666,675,59462,4500,17,0,0,0
2,232,666,675,18816,4500,17,0,0,0
10,1344,666,675,31059,4500,17,0,0,0
5,768,666,675,14832,4500,17,0,0,0
8,3984,666,675,23795,4500,17,0,0,0
8,3529,656,675,61075,3480,17,136,0,0
5,724,656,675,50009,3479,17,184,0,0
1,131,656,675,50027,3480,17,0,0,0
1,1255,656,675,50057,3481,17,0,0,0
1,118,656,675,50003,3480,17,0,0,0
14,10520,656,675,50022,3480,17,0,0,0
14,8690,656,675,50029,3480,17,0,0,0
